sim,total_net_income,default_rate,lgd,margin_shock
9129,-15814609.819493268,0.05827874091469648,0.7727739247771734,-0.002805760572979324
9130,-9269379.277075792,0.055586486802905774,0.41859885781409145,-0.01987603672503047
9131,-4587470.878028672,0.11554625719646631,0.2,-0.0017685711149456919
9132,-403449.094064394,0.09436697305716711,0.29836657294978924,0.02462108622147533
9133,-11912415.090668077,0.10339346997889975,0.22639885787222888,-0.03
9134,-6823044.616725663,0.08656536423823195,0.33087003401080745,0.0003195982482828219
9135,-8207509.068802669,0.10545516759456462,0.21906318356436613,-0.016026898493822078
9136,-47126029.89801592,0.1501309150245748,0.7063141880719167,-0.005991733336305605
9137,-6508970.314086152,0.06718140226372132,0.3115059129536851,-0.013620727703284626
9138,-56727691.365961574,0.1558807147505828,0.7852501759051003,-0.011573817810784091
9139,-23124873.149039835,0.10876052117453146,0.43084027071895964,-0.027982951957461095
9140,-5872591.77114028,0.09902395575825172,0.2,-0.013325362079928271
9141,8053951.525782118,0.06987715140884543,0.2,0.03
9142,361305.89540698566,0.0754418607885314,0.24032121925246003,0.00790732804889486
9143,-15944848.659839835,0.09895300383545924,0.44667455992149085,-0.004963753203737005
9144,-23938773.977672566,0.08198160814484946,0.6574887541894566,-0.017328975507684915
9145,-3253892.8977051247,0.11651318857256196,0.2,0.003858725086758358
9146,9917549.160267998,0.019829325497624617,0.27190301546176576,0.020446068953271553
9147,13023395.62157519,0.020182710450914708,0.2,0.03
9148,-31270091.948483743,0.0958635992229204,0.6480407342711942,-0.03
9149,-11519792.822705507,0.08650728122961811,0.40986588146990033,-0.0047538411226275635
9150,-16666556.932000445,0.06437212136266345,0.5113463173271486,-0.03
9151,1682357.3188019795,0.041193440585079275,0.21964029318654302,-0.004762385563790375
9152,-29019288.547034647,0.111626840989029,0.5783953135267633,-0.016342561446985662
9153,-29086942.820407163,0.11817566314778266,0.5032824866715271,-0.026619299726704654
9154,4135204.630299325,0.038185687045376386,0.2,0.00211320656329301
